0.0000,0.2792,0.5422,0.1987,0.1134,0.4832,0.1764,0.9217
0.0000,0.5189,0.5830,0.3176,0.2421,0.0000,0.1385,0.2951
0.9116,0.3187,0.2430,0.2297,0.0952,0.3912,0.1875,0.6397
0.0000,1.0000,0.6995,0.2819,0.1750,0.4205,0.4487,0.5548
0.2389,0.0000,0.7585,0.2330,0.2755,0.4175,0.0000,0.4155
0.7670,0.6412,0.3136,0.2171,0.2384,0.3160,0.0992,0.5414
0.0000,0.4644,0.4834,0.3367,0.2952,0.2953,0.3629,0.5894
0.0000,0.2026,0.6243,0.2585,0.0842,0.5073,0.0000,0.5821
0.4904,0.2725,0.5128,0.2806,0.1990,0.1548,0.2882,0.0000
0.0000,0.0000,0.5775,0.3397,0.3101,0.0000,0.5705,0.0000
0.2457,0.0952,0.5280,0.3269,0.1723,0.2372,0.1925,0.0657
0.2807,0.4280,0.5236,0.2829,0.2988,0.2220,0.0205,0.1951
0.6681,0.8306,0.0275,0.0950,0.3978,0.4819,0.0000,0.0416
0.0455,0.1971,0.3948,0.2038,0.0507,0.0000,0.3321,0.1030
0.3096,0.4445,0.6432,0.3676,0.0948,0.1539,0.0000,0.1463
0.0000,0.7570,0.4890,0.3158,0.1268,0.4499,0.1195,0.0000
0.5436,0.4111,0.6082,0.2087,0.0819,0.1182,0.2691,0.3580
0.2928,0.4936,0.5765,0.2420,0.2847,0.3335,0.3045,0.6702
0.4731,0.0921,0.3858,0.1657,0.0908,0.3892,0.1115,0.0148
0.0000,1.0000,0.3525,0.4408,0.2227,0.4112,0.3690,0.0330
0.0000,0.0000,0.2731,0.3359,0.1214,0.1816,0.6023,0.4489
0.0000,0.7148,0.4625,0.3008,0.0185,0.0000,0.0000,0.3408
0.5958,0.9372,0.5168,0.2551,0.0863,0.4081,0.1007,0.8549
0.0000,0.9191,0.3781,0.3464,0.1466,0.1886,0.1583,0.1645
0.0000,0.5535,0.6138,0.0719,0.1527,0.3991,0.1440,0.0113
0.1668,0.0000,0.4963,0.1806,0.0893,0.3019,0.3530,0.7793
0.3464,0.8405,0.5973,0.3745,0.2733,0.0820,0.2996,0.1070
0.1492,0.6938,0.5168,0.2110,0.0113,0.0759,0.2613,0.9623
0.2856,0.7091,0.4089,0.1451,0.1046,0.3563,0.1362,0.3876
0.5189,0.0000,0.4867,0.1591,0.2611,0.3402,0.1221,0.0184
0.6822,0.8089,0.4392,0.1502,0.1141,0.0451,0.1141,0.0000
0.0000,0.1770,0.5866,0.3248,0.0825,0.0000,0.3652,0.0000
0.2937,0.3660,0.5165,0.2942,0.2857,0.2456,0.0045,0.0000
0.0000,1.0000,0.4251,0.1963,0.3191,0.0684,0.1988,0.0000
0.1298,1.0000,0.6560,0.1625,0.1588,0.0824,0.1518,0.0000
0.3372,0.0000,0.8722,0.1645,0.2573,0.1958,0.2219,0.1743
0.0000,1.0000,0.2811,0.1116,0.3825,0.1291,0.1655,0.5068
0.0000,0.7630,0.7494,0.5171,0.0707,0.2413,0.0095,0.0248
0.0000,0.6193,0.3338,0.3045,0.1052,0.4011,0.0756,0.4668
0.2086,0.4925,0.4405,0.1498,0.2042,0.1342,0.0991,0.3938
0.0000,0.2299,0.5063,0.3704,0.0508,0.3025,0.4520,0.1906
0.2616,0.6482,0.3705,0.2147,0.2081,0.2460,0.3536,0.4224
0.2025,0.0000,0.3572,0.4229,0.1888,0.3094,0.1294,0.2553
0.4165,0.0000,0.4299,0.1495,0.1478,0.4001,0.2297,0.3715
0.0000,0.2959,0.7180,0.2982,0.1617,0.4247,0.1682,0.0000
0.1807,1.0000,0.6859,0.3094,0.2017,0.4653,0.1546,0.0575
0.2130,0.0000,0.4704,0.3398,0.2203,0.4287,0.0929,0.4956
0.0000,0.3567,0.5233,0.2068,0.0112,0.3383,0.0566,0.0000
0.5932,0.2535,0.7591,0.2006,0.1250,0.1828,0.3285,0.1034
0.3181,0.1122,0.4774,0.1054,0.2700,0.2583,0.0000,0.3276
0.3301,0.0955,0.5002,0.3118,0.2693,0.3072,0.4718,0.0000
0.0000,0.0000,0.5132,0.4419,0.2037,0.5573,0.0000,0.3744
0.0000,0.6063,0.4930,0.2954,0.1569,0.4790,0.0643,0.5124
0.0000,0.1110,0.5334,0.3391,0.2860,0.5706,0.0000,0.0000
0.1035,0.0842,0.3241,0.1597,0.4944,0.3656,0.0000,0.4713
0.0456,0.4024,0.5423,0.3013,0.0971,0.6839,0.2304,0.4818
0.0000,0.0000,0.2070,0.4116,0.1056,0.0789,0.0000,0.0895
0.4706,0.7505,0.5890,0.2065,0.1587,0.2372,0.1302,0.0000
0.0000,0.6164,0.5404,0.1947,0.0667,0.2404,0.1038,0.0000
0.2651,0.4435,0.5643,0.2642,0.0565,0.3328,0.3218,0.0000
0.5719,0.5720,0.7333,0.3294,0.2046,0.5939,0.0715,0.0000
0.0683,1.0000,0.4894,0.2942,0.1095,0.3543,0.3896,0.0000
0.5629,1.0000,0.4653,0.3088,0.1942,0.5594,0.4353,0.3139
0.1878,0.0000,0.5486,0.2830,0.1594,0.2050,0.2402,0.0000
0.0000,0.5493,0.4471,0.2112,0.0000,0.0000,0.1475,0.1209
0.8951,0.0000,0.3767,0.0000,0.1040,0.6628,0.4939,0.5197
0.6831,0.9171,0.4172,0.2310,0.0929,0.2732,0.4336,0.0000
0.3768,0.9548,0.1893,0.2216,0.1837,0.4665,0.3713,0.6288
0.0000,0.6323,0.4649,0.3220,0.0663,0.5724,0.1045,0.9167
0.0000,0.2855,0.3562,0.3554,0.0828,0.1886,0.0000,0.0000
0.1560,0.7055,0.4491,0.2139,0.1140,0.3413,0.1413,0.0277
0.0000,0.4562,0.3349,0.2829,0.2162,0.2454,0.0000,0.0000
0.1929,1.0000,0.5245,0.0861,0.2139,0.0000,0.0000,0.0890
0.0393,0.5624,0.4508,0.3019,0.1398,0.2628,0.3642,0.2620
0.2223,1.0000,0.7144,0.2141,0.2604,0.3751,0.1624,0.1054
0.0820,0.4129,0.3074,0.3101,0.1059,0.4177,0.2158,0.2656
0.0000,0.7586,0.6257,0.4431,0.2399,0.2815,0.3126,0.2610
0.0000,0.9882,0.6160,0.2299,0.1169,0.2634,0.0822,0.0000
0.0000,0.3912,0.3854,0.3217,0.2341,0.1246,0.3668,0.0167
0.0000,0.5072,0.8524,0.2126,0.1198,0.3012,0.2513,0.0000
0.0148,0.6158,0.3455,0.2753,0.2042,0.4161,0.3046,0.4346
0.0000,0.6898,0.4658,0.1010,0.2493,0.3892,0.3471,0.0007
0.9838,0.8352,0.2224,0.0835,0.0643,0.2988,0.3880,0.6770
0.3030,0.6608,0.6278,0.2333,0.2187,0.3391,0.0000,0.0000
0.0865,0.9808,0.7199,0.2370,0.2615,0.4169,0.4480,0.1114
0.1954,0.9879,0.4615,0.1838,0.0032,0.0000,0.1369,0.2631
0.1350,0.9422,0.4966,0.0403,0.3141,0.0744,0.0000,0.2683
0.7238,0.3032,0.7768,0.2950,0.1984,0.5067,0.0148,0.2820
0.7935,0.6350,0.5587,0.2792,0.0427,0.4678,0.5771,0.4557
